Gujranwala Property Group,House,PKR2.8 Crore,"Citi Housing Society, Gujranwala, Punjab",10 Marla,For Sale
Gujranwala Property Group,House,PKR7 Crore,"Citi Housing Society, Gujranwala, Punjab",1 Kanal,For Sale
AK Marketing,House,PKR1.95 Crore,"Satellite Town, Gujranwala, Punjab",4.4 Marla,For Sale
AK Marketing,House,PKR3.45 Crore,"Satellite Town, Gujranwala, Punjab",12 Marla,For Sale
Home Solution Estate,House,PKR3.5 Crore,"Citi Housing Society, Gujranwala, Punjab",14 Marla,For Sale
Heaven Properties,House,PKR1.3 Crore,"Citi Housing Society, Gujranwala, Punjab",5 Marla,For Sale
Defence Real Estate  Builders,House,PKR3.3 Crore,"DC Colony, Gujranwala, Punjab",10 Marla,For Sale
Defence Real Estate  Builders,House,PKR6.5 Crore,"DC Colony, Gujranwala, Punjab",1 Kanal,For Sale
Alfa Property Advisor,House,PKR1.8 Crore,"DC Colony, Gujranwala, Punjab",5 Marla,For Sale
Mujtaba  Real Estate & Associates,House,PKR2.25 Crore,"DHA Defence, Gujranwala, Punjab",10 Marla,For Sale
Mujtaba  Real Estate & Associates,House,PKR1.4 Crore,"DHA Defence, Gujranwala, Punjab",6 Marla,For Sale
ZH Real Estate  Marketing,House,PKR1.4 Crore,"Citi Housing Society, Gujranwala, Punjab",5 Marla,For Sale
ZH Real Estate  Marketing,House,PKR3.5 Crore,"Citi Housing Society, Gujranwala, Punjab",15 Marla,For Sale
AS Marketing,House,PKR2.4 Crore,"Citi Housing Society, Gujranwala, Punjab",10 Marla,For Sale
Al Khidmat Property Zone,House,PKR2.9 Crore,"Canal View Housing Scheme, Gujranwala, Punjab",10 Marla,For Sale
Al Khidmat Property Zone,House,PKR2.9 Crore,"Canal View Housing Scheme, Gujranwala, Punjab",10 Marla,For Sale
United Real Estate,House,PKR1.6 Crore,"Citi Housing Society, Gujranwala, Punjab",5 Marla,For Sale
United Real Estate,House,PKR1.7 Crore,"Citi Housing Society, Gujranwala, Punjab",5 Marla,For Sale
United Real Estate,House,PKR1.55 Crore,"Citi Housing Society, Gujranwala, Punjab",5 Marla,For Sale
ZH Real Estate  Marketing,House,PKR3.75 Crore,"Citi Housing Society, Gujranwala, Punjab",10 Marla,For Sale
ZH Real Estate  Marketing,House,PKR2.8 Crore,"Canal View Housing Scheme, Gujranwala, Punjab",10 Marla,For Sale
Home Solution Estate,House,PKR1.6 Crore,"Citi Housing Society, Gujranwala, Punjab",5 Marla,For Sale
Mujtaba  Real Estate & Associates,House,PKR1.25 Crore,"DHA Defence, Gujranwala, Punjab",5 Marla,For Sale
Gujranwala Property Group,House,PKR1.6 Crore,"Citi Housing Society, Gujranwala, Punjab",5 Marla,For Sale
Mega Estate,House,PKR5 Crore,"DC Colony, Gujranwala, Punjab",1 Kanal,For Sale
Home Solution Estate,House,PKR2.4 Crore,"Citi Housing Society, Gujranwala, Punjab",10 Marla,For Sale
Stars Estate and Builders,House,PKR1.8 Crore,"DC Colony, Gujranwala, Punjab",5 Marla,For Sale
Ibrahim Real Estate,House,PKR1.35 Crore,"Palm City Housing Scheme, Gujranwala, Punjab",4.5 Marla,For Sale
Gujranwala City Estate,House,PKR1.1 Crore,"Palm City Housing Scheme, Gujranwala, Punjab",5 Marla,For Sale
MA Real Estate & Advisor,House,PKR1.6 Crore,"Citi Housing Society, Gujranwala, Punjab",5 Marla,For Sale
Titan Properties & Developers,House,PKR7 Crore,"Palm City Housing Scheme, Gujranwala, Punjab",1 Kanal,For Sale
Aeon & Trisl,House,PKR9.5 Crore,"DC Colony, Gujranwala, Punjab",1 Kanal,For Sale
Mega Estate,House,PKR6.5 Crore,"DC Colony, Gujranwala, Punjab",1 Kanal,For Sale
