VIP Properties,House,PKR9.4 Crore,"DHA Defence, Islamabad, Islamabad Capital",1 Kanal,For Sale
Chohan HAY Estate,House,PKR56.5 Crore,"F-7, Islamabad, Islamabad Capital",2.1 Kanal,For Sale
Property Mall,House,PKR15 Crore,"D-12, Islamabad, Islamabad Capital",1 Kanal,For Sale
District 92,Flat,PKR94.95 Lakh,"Gulberg, Islamabad, Islamabad Capital",2.8 Marla,For Sale
Chohan HAY Estate,House,PKR25 Crore,"F-6, Islamabad, Islamabad Capital",1.7 Kanal,For Sale
Standard Real Estate & Builders,House,PKR8.75 Crore,"DHA Defence, Islamabad, Islamabad Capital",1 Kanal,For Sale
Investors Inn Real Estate Consultants & Builders,House,PKR9 Crore,"DHA Defence, Islamabad, Islamabad Capital",1 Kanal,For Sale
Kaghan Properties,Flat,PKR85 Lakh,"Bahria Town, Islamabad, Islamabad Capital",3.3 Marla,For Sale
White House Property Center,House,PKR9.5 Crore,"DHA Defence, Islamabad, Islamabad Capital",1 Kanal,For Sale
Milestone Estate & Builders,Flat,PKR50 Lakh,"Bahria Town, Islamabad, Islamabad Capital",2.4 Marla,For Sale
Standard Real Estate & Builders,House,PKR2.85 Crore,"CBR Town, Islamabad, Islamabad Capital",7 Marla,For Sale
Investors Inn Real Estate Consultants & Builders,House,PKR2.35 Crore,"B-17, Islamabad, Islamabad Capital",7 Marla,For Sale
Investors Inn Real Estate Consultants & Builders,House,PKR7.35 Crore,"DHA Defence, Islamabad, Islamabad Capital",1 Kanal,For Sale
Investors Inn Real Estate Consultants & Builders,House,PKR9.5 Crore,"DHA Defence, Islamabad, Islamabad Capital",1 Kanal,For Sale
Investors Inn Real Estate Consultants & Builders,House,PKR8.45 Crore,"DHA Defence, Islamabad, Islamabad Capital",1 Kanal,For Sale
KeyNext Marketing,Flat,PKR1.21 Crore,"Bahria Town, Islamabad, Islamabad Capital",5.6 Marla,For Sale
Landmark Realty Associates & Builders,House,PKR1.8 Crore,"Tarnol, Islamabad, Islamabad Capital",10 Marla,For Sale
Landmark Realty Associates & Builders,House,PKR2.2 Crore,"F-17, Islamabad, Islamabad Capital",8 Marla,For Sale
Landmark Realty Associates & Builders,House,PKR2.8 Crore,"F-17, Islamabad, Islamabad Capital",10 Marla,For Sale
Estate News,House,PKR3.9 Crore,"DHA Defence, Islamabad, Islamabad Capital",11 Marla,For Sale
Askari Inn Real estate,Flat,PKR1.61 Crore,"DHA Defence, Islamabad, Islamabad Capital",5.1 Marla,For Sale
I Stone Marketing & Builders,House,PKR2.6 Crore,"G-11, Islamabad, Islamabad Capital",4.4 Marla,For Sale
Such & Such Property Assist,House,PKR2.7 Crore,"Tarnol, Islamabad, Islamabad Capital",12 Marla,For Sale
Behtareen Associates,House,PKR1.55 Crore,"H-13, Islamabad, Islamabad Capital",5.5 Marla,For Sale
Avenue 5 International,House,PKR8.85 Crore,"DHA Defence, Islamabad, Islamabad Capital",1 Kanal,For Sale
Chohan HAY Estate,House,PKR28 Crore,"F-7, Islamabad, Islamabad Capital",1.3 Kanal,For Sale
Marketing 360,House,PKR7.9 Crore,"Bahria Town, Islamabad, Islamabad Capital",1 Kanal,For Sale
Fair Deal Marketing (Pvt) Ltd,House,PKR2.5 Crore,"Park View City, Islamabad, Islamabad Capital",5 Marla,For Sale
HM Real Estate & Marketing,House,PKR7.6 Crore,"D-12, Islamabad, Islamabad Capital",8 Marla,For Sale
AZCA Estate & Builders,House,PKR4 Crore,"Top City 1, Islamabad, Islamabad Capital",10 Marla,For Sale
Better Homes Real Estate,House,PKR2.25 Crore,"Shah Allah Ditta, Islamabad, Islamabad Capital",8 Marla,For Sale
Al Haram Estate,House,PKR6.75 Crore,"DHA Defence, Islamabad, Islamabad Capital",1 Kanal,For Sale
Al Haram Estate,House,PKR7.25 Crore,"DHA Defence, Islamabad, Islamabad Capital",1 Kanal,For Sale
Mehran Associates,House,PKR2.6 Crore,"G-13, Islamabad, Islamabad Capital",4 Marla,For Sale
Property Fex Property Consultant,House,PKR4.7 Crore,"G-13, Islamabad, Islamabad Capital",8 Marla,For Sale
Property Fex Property Consultant,House,PKR4.5 Crore,"G-13, Islamabad, Islamabad Capital",8 Marla,For Sale
Such & Such Property Assist,House,PKR3 Crore,"Tarnol, Islamabad, Islamabad Capital",1.2 Kanal,For Sale
Askari Inn Real estate,Flat,PKR91 Lakh,"DHA Defence, Islamabad, Islamabad Capital",2.9 Marla,For Sale
Al Ahram Estate & Builders,House,PKR9.25 Crore,"DHA Defence, Islamabad, Islamabad Capital",1 Kanal,For Sale
Property Fex Property Consultant,Flat,PKR1.05 Crore,"H-13, Islamabad, Islamabad Capital",6.1 Marla,For Sale
Property Fex Property Consultant,House,PKR2.75 Crore,"G-13, Islamabad, Islamabad Capital",4.4 Marla,For Sale
Property Fex Property Consultant,House,PKR4.6 Crore,"G-13, Islamabad, Islamabad Capital",8 Marla,For Sale
Property Fex Property Consultant,Flat,PKR75 Lakh,"G-15, Islamabad, Islamabad Capital",2.8 Marla,For Sale
Al Haram Estate,House,PKR9 Crore,"DHA Defence, Islamabad, Islamabad Capital",1 Kanal,For Sale
ARK Marketing,House,PKR9.4 Crore,"DHA Defence, Islamabad, Islamabad Capital",1 Kanal,For Sale
Bodla Builders Realtors & Developers,House,PKR4.3 Crore,"DHA Defence, Islamabad, Islamabad Capital",14 Marla,For Sale
M&M ESTATE & Builders,House,PKR8.5 Crore,"DHA Defence, Islamabad, Islamabad Capital",1 Kanal,For Sale
M&M ESTATE & Builders,House,PKR8.4 Crore,"DHA Defence, Islamabad, Islamabad Capital",1 Kanal,For Sale
M&M ESTATE & Builders,House,PKR7.25 Crore,"DHA Defence, Islamabad, Islamabad Capital",1 Kanal,For Sale
Shan Associates,House,PKR3 Crore,"Bani Gala, Islamabad, Islamabad Capital",10 Marla,For Sale
S  M Enterprises,House,PKR4.75 Crore,"Bahria Town, Islamabad, Islamabad Capital",10 Marla,For Sale
Fatima-Tu-Zahra Real Estate,House,PKR2.6 Crore,"G-15, Islamabad, Islamabad Capital",8 Marla,For Sale
Euro Homes,House,PKR2 Crore,"Bahria Town, Islamabad, Islamabad Capital",5 Marla,For Sale
Euro Homes,House,PKR4.85 Crore,"Bahria Town, Islamabad, Islamabad Capital",10 Marla,For Sale
Nexone,Flat,PKR58 Lakh,"D-17, Islamabad, Islamabad Capital",5.4 Marla,For Sale
Chakdara Property Centre,House,PKR6 Crore,"E-18, Islamabad, Islamabad Capital",1 Kanal,For Sale
Sadeed Property Advisor,House,PKR2.45 Crore,"G-13, Islamabad, Islamabad Capital",4 Marla,For Sale
